Wed Jun 19 14:53:58 +0000 2024,tempathaluku,Guyss minta bantuannya isi kuesioner yaaa butuh responden 200-300 orang. Kriterianya : 1. Punya akun instagram 2. Kelahiran 1997-2012 3. Pernah ngeliat/berinteraksi dengan produk kampanye boikot https://t.co/Cl3Z4Em8v1 https://t.co/tzlILYduSL,guyss minta bantuannya isi kuesioner yaaa butuh responden orang kriterianya punya akun instagram kelahiran pernah ngeliat berinteraksi dengan produk kampanye boikot,"['guyss', 'minta', 'bantuannya', 'isi', 'kuesioner', 'yaaa', 'butuh', 'responden', 'orang', 'kriterianya', 'punya', 'akun', 'instagram', 'kelahiran', 'pernah', 'ngeliat', 'berinteraksi', 'dengan', 'produk', 'kampanye', 'boikot']","['guyss', 'minta', 'bantuannya', 'isi', 'kuesioner', 'yaaa', 'butuh', 'responden', 'orang', 'kriterianya', 'punya', 'akun', 'instagram', 'kelahiran', 'pernah', 'ngeliat', 'berinteraksi', 'produk', 'kampanye', 'boikot']",guyss minta bantu isi kuesioner yaaa butuh responden orang kriteria punya akun instagram lahir pernah ngeliat interaksi produk kampanye boikot,Negatif
Wed Jun 19 12:51:26 +0000 2024,herricahyadi,Agenda anti-LGBTQ+ bukan agenda pembebasan Palestina. Boikot thdp korporasi atau produk yg dikoordinasi org-org Palestina tidak ada urusan dgn agenda ini. Alih-alih membantu Palestina malah justru melebar ke mana-mana. Bikin fokus boikot jadi buyar. Tetap fokus dgn BDS. https://t.co/6E6BEna9w3,agenda anti lgbtq bukan agenda pembebasan palestina boikot thdp korporasi atau produk yg dikoordinasi org org palestina tidak ada urusan dgn agenda ini alih alih membantu palestina malah justru melebar ke mana mana bikin fokus boikot jadi buyar tetap fokus dgn bds,"['agenda', 'anti', 'lgbtq', 'bukan', 'agenda', 'pembebasan', 'palestina', 'boikot', 'thdp', 'korporasi', 'atau', 'produk', 'yg', 'dikoordinasi', 'org', 'org', 'palestina', 'tidak', 'ada', 'urusan', 'dgn', 'agenda', 'ini', 'alih', 'alih', 'membantu', 'palestina', 'malah', 'justru', 'melebar', 'ke', 'mana', 'mana', 'bikin', 'fokus', 'boikot', 'jadi', 'buyar', 'tetap', 'fokus', 'dgn', 'bds']","['agenda', 'anti', 'lgbtq', 'bukan', 'agenda', 'pembebasan', 'palestina', 'boikot', 'thdp', 'korporasi', 'produk', 'yg', 'dikoordinasi', 'org', 'org', 'palestina', 'ada', 'urusan', 'dgn', 'agenda', 'alih', 'alih', 'membantu', 'palestina', 'malah', 'justru', 'melebar', 'mana', 'mana', 'bikin', 'fokus', 'boikot', 'jadi', 'buyar', 'tetap', 'fokus', 'dgn', 'bds']",agenda anti lgbtq bukan agenda bebas palestina boikot thdp korporasi produk yg koordinasi org org palestina ada urus dgn agenda alih alih bantu palestina malah justru lebar mana mana bikin fokus boikot jadi buyar tetap fokus dgn bds,Negatif
Wed Jun 19 01:15:11 +0000 2024,smartizen_,Indonesia Masuk 3 Besar Negara Boikot Produk Pro Israel - https://t.co/yq7W19QLGr https://t.co/bKeDBNcxe0,indonesia masuk besar negara boikot produk pro israel,"['indonesia', 'masuk', 'besar', 'negara', 'boikot', 'produk', 'pro', 'israel']","['indonesia', 'masuk', 'besar', 'negara', 'boikot', 'produk', 'pro', 'israel']",indonesia masuk besar negara boikot produk pro israel,Negatif
Wed Jun 19 15:27:55 +0000 2024,jmnanyangie,karna agensi ny nerima kerja sama dgn produk itu seakan member ny pro Israel ga semua org yg make produk boikot itu pro israel gue ga paham hnya karna 1 hal ini seakan akan mereka bkn org baik kalian yg meragukan rasa kemanusiaan jaemin minimal udh prnh berbuat sebanyak ini https://t.co/dltin9CNUL,karna agensi ny nerima kerja sama dgn produk itu seakan member ny pro israel ga semua org yg make produk boikot itu pro israel gue ga paham hnya karna hal ini seakan akan mereka bkn org baik kalian yg meragukan rasa kemanusiaan jaemin minimal udh prnh berbuat sebanyak ini,"['karna', 'agensi', 'ny', 'nerima', 'kerja', 'sama', 'dgn', 'produk', 'itu', 'seakan', 'member', 'ny', 'pro', 'israel', 'ga', 'semua', 'org', 'yg', 'make', 'produk', 'boikot', 'itu', 'pro', 'israel', 'gue', 'ga', 'paham', 'hnya', 'karna', 'hal', 'ini', 'seakan', 'akan', 'mereka', 'bkn', 'org', 'baik', 'kalian', 'yg', 'meragukan', 'rasa', 'kemanusiaan', 'jaemin', 'minimal', 'udh', 'prnh', 'berbuat', 'sebanyak', 'ini']","['karna', 'agensi', 'ny', 'nerima', 'kerja', 'sama', 'dgn', 'produk', 'seakan', 'member', 'ny', 'pro', 'israel', 'ga', 'semua', 'org', 'yg', 'make', 'produk', 'boikot', 'pro', 'israel', 'gue', 'ga', 'paham', 'hnya', 'karna', 'seakan', 'mereka', 'bkn', 'org', 'baik', 'kalian', 'yg', 'meragukan', 'rasa', 'kemanusiaan', 'jaemin', 'minimal', 'udh', 'prnh', 'berbuat', 'sebanyak', 'ini']",karna agens ny nerima kerja sama dgn produk akan member ny pro israel ga semua org yg make produk boikot pro israel gue ga paham hnya karna akan mereka bkn org baik kalian yg ragu rasa manusia jaemin minimal udh prnh buat banyak ini,Positif
Wed Jun 19 07:34:56 +0000 2024,yizhuoqueen,tanggapannya gimana kakak?? @igeonana si jaemin ternyata juga PAKAI PRODUK YG JELAS2 ADA DI LIST BOIKOT BDS?? kataku gausah sok iyee mau bawa2 brand kita semua tau mereka gaakan semudah itu lepas dri brand2 tsb. https://t.co/2OL5tIWGhq,tanggapannya gimana kakak si jaemin ternyata juga pakai produk yg jelas ada di list boikot bds kataku gausah sok iyee mau bawa brand kita semua tau mereka gaakan semudah itu lepas dri brand tsb,"['tanggapannya', 'gimana', 'kakak', 'si', 'jaemin', 'ternyata', 'juga', 'pakai', 'produk', 'yg', 'jelas', 'ada', 'di', 'list', 'boikot', 'bds', 'kataku', 'gausah', 'sok', 'iyee', 'mau', 'bawa', 'brand', 'kita', 'semua', 'tau', 'mereka', 'gaakan', 'semudah', 'itu', 'lepas', 'dri', 'brand', 'tsb']","['tanggapannya', 'gimana', 'kakak', 'si', 'jaemin', 'ternyata', 'pakai', 'produk', 'yg', 'jelas', 'di', 'list', 'boikot', 'bds', 'kataku', 'gausah', 'sok', 'iyee', 'mau', 'bawa', 'brand', 'semua', 'tau', 'gaakan', 'semudah', 'lepas', 'dri', 'brand', 'tsb']",tanggap gimana kakak si jaemin nyata pakai produk yg jelas di list boikot bds kata gausah sok iyee mau bawa brand semua tau gaakan mudah lepas dri brand tsb,Positif
Wed Jun 19 11:36:07 +0000 2024,impoliteless,Terkadang bingung dengan sikap beberapa orang yang menyatakan boikot terhadap produk zionis tapi dalam kesehariannya larangan allah dilakukan maaf mbak pertolongan yang hakiki itu dari allah yakin cukup dengan boikot dapat menolong saudara di palestina????? coba dipikir lagi,terkadang bingung dengan sikap beberapa orang yang menyatakan boikot terhadap produk zionis tapi dalam kesehariannya larangan allah dilakukan maaf mbak pertolongan yang hakiki itu dari allah yakin cukup dengan boikot dapat menolong saudara di palestina coba dipikir lagi,"['terkadang', 'bingung', 'dengan', 'sikap', 'beberapa', 'orang', 'yang', 'menyatakan', 'boikot', 'terhadap', 'produk', 'zionis', 'tapi', 'dalam', 'kesehariannya', 'larangan', 'allah', 'dilakukan', 'maaf', 'mbak', 'pertolongan', 'yang', 'hakiki', 'itu', 'dari', 'allah', 'yakin', 'cukup', 'dengan', 'boikot', 'dapat', 'menolong', 'saudara', 'di', 'palestina', 'coba', 'dipikir', 'lagi']","['terkadang', 'bingung', 'sikap', 'beberapa', 'orang', 'menyatakan', 'boikot', 'produk', 'zionis', 'dalam', 'kesehariannya', 'larangan', 'allah', 'dilakukan', 'maaf', 'mbak', 'pertolongan', 'hakiki', 'dari', 'allah', 'yakin', 'cukup', 'boikot', 'menolong', 'saudara', 'palestina', 'coba', 'dipikir']",terkadang bingung sikap beberapa orang nyata boikot produk zionis dalam hari larang allah laku maaf mbak tolong hakiki dari allah yakin cukup boikot tolong saudara palestina coba pikir,Positif
Wed Jun 19 04:23:39 +0000 2024,lastweetX,Buat apa lu aksi kemanusiaan tapi bully anak smp yang gak mau ikut boikot karena masih suka menikmati produk israel. Gak boleh nanti ada doxxing anti bully. Sialan lu kemarin pasang postingan pro Palestina malah bela yang denial dengan isu Palestina,buat apa lu aksi kemanusiaan tapi bully anak smp yang gak mau ikut boikot karena masih suka menikmati produk israel gak boleh nanti ada doxxing anti bully sialan lu kemarin pasang postingan pro palestina malah bela yang denial dengan isu palestina,"['buat', 'apa', 'lu', 'aksi', 'kemanusiaan', 'tapi', 'bully', 'anak', 'smp', 'yang', 'gak', 'mau', 'ikut', 'boikot', 'karena', 'masih', 'suka', 'menikmati', 'produk', 'israel', 'gak', 'boleh', 'nanti', 'ada', 'doxxing', 'anti', 'bully', 'sialan', 'lu', 'kemarin', 'pasang', 'postingan', 'pro', 'palestina', 'malah', 'bela', 'yang', 'denial', 'dengan', 'isu', 'palestina']","['buat', 'apa', 'lu', 'aksi', 'kemanusiaan', 'bully', 'anak', 'smp', 'gak', 'mau', 'ikut', 'boikot', 'masih', 'suka', 'menikmati', 'produk', 'israel', 'gak', 'nanti', 'doxxing', 'anti', 'bully', 'sialan', 'lu', 'kemarin', 'pasang', 'postingan', 'pro', 'palestina', 'malah', 'bela', 'denial', 'isu', 'palestina']",buat apa lu aksi manusia bully anak smp gak mau ikut boikot masih suka nikmat produk israel gak nanti doxxing anti bully sial lu kemarin pasang postingan pro palestina malah bela denial isu palestina,Positif
Wed Jun 19 04:49:55 +0000 2024,liddolmoonfairy,Another list brand yang perlu di boikot. Oh iya temen-temen kalau bingung mau cek produk yang di boikot yang mana aja di bisa cek di: https://t.co/VsencztuXF https://t.co/FfguJ6SMs0 Sekalian yuk pelajari apa itu BDS di: https://t.co/b3p7UNMgim https://t.co/UiqJhxfnEu,another list brand yang perlu di boikot oh iya temen temen kalau bingung mau cek produk yang di boikot yang mana aja di bisa cek di sekalian yuk pelajari apa itu bds di,"['another', 'list', 'brand', 'yang', 'perlu', 'di', 'boikot', 'oh', 'iya', 'temen', 'temen', 'kalau', 'bingung', 'mau', 'cek', 'produk', 'yang', 'di', 'boikot', 'yang', 'mana', 'aja', 'di', 'bisa', 'cek', 'di', 'sekalian', 'yuk', 'pelajari', 'apa', 'itu', 'bds', 'di']","['another', 'list', 'brand', 'perlu', 'boikot', 'iya', 'temen', 'temen', 'kalau', 'bingung', 'mau', 'cek', 'produk', 'boikot', 'mana', 'aja', 'bisa', 'cek', 'sekalian', 'yuk', 'pelajari', 'apa', 'bds', 'di']",another list brand perlu boikot iya temen temen kalau bingung mau cek produk boikot mana aja bisa cek sekali yuk ajar apa bds di,Positif
Wed Jun 19 11:13:26 +0000 2024,yuliusAA,@erlanishere Banyak masyarakat gak peduli masalah boikot produk Tapi ketika orang2 bodoh masuk ke tempat kerja orang lain dan mengganggu pengunjung di sana mendiskriminasi pengunjung dengan dalih tidak berprikemanusiaan Yah silahkan kalian pergi ke TKP asli untuk aksi nyata,banyak masyarakat gak peduli masalah boikot produk tapi ketika orang bodoh masuk ke tempat kerja orang lain dan mengganggu pengunjung di sana mendiskriminasi pengunjung dengan dalih tidak berprikemanusiaan yah silahkan kalian pergi ke tkp asli untuk aksi nyata,"['banyak', 'masyarakat', 'gak', 'peduli', 'masalah', 'boikot', 'produk', 'tapi', 'ketika', 'orang', 'bodoh', 'masuk', 'ke', 'tempat', 'kerja', 'orang', 'lain', 'dan', 'mengganggu', 'pengunjung', 'di', 'sana', 'mendiskriminasi', 'pengunjung', 'dengan', 'dalih', 'tidak', 'berprikemanusiaan', 'yah', 'silahkan', 'kalian', 'pergi', 'ke', 'tkp', 'asli', 'untuk', 'aksi', 'nyata']","['banyak', 'masyarakat', 'gak', 'peduli', 'masalah', 'boikot', 'produk', 'ketika', 'orang', 'bodoh', 'masuk', 'tempat', 'kerja', 'orang', 'dan', 'mengganggu', 'pengunjung', 'sana', 'mendiskriminasi', 'pengunjung', 'dalih', 'berprikemanusiaan', 'yah', 'silahkan', 'kalian', 'pergi', 'tkp', 'asli', 'aksi', 'nyata']",banyak masyarakat gak peduli masalah boikot produk ketika orang bodoh masuk tempat kerja orang dan ganggu unjung sana diskriminasi unjung dalih berprikemanusiaan yah silah kalian pergi tkp asli aksi nyata,Negatif
Wed Jun 19 05:27:10 +0000 2024,bbdayboo,WKWKWK LUCU KALII YANG DI BOIKOT PRODUK NYA BUKAN MEMBERNYA https://t.co/fQ6toPkHoV,wkwkwk lucu kalii yang di boikot produk nya bukan membernya,"['wkwkwk', 'lucu', 'kalii', 'yang', 'di', 'boikot', 'produk', 'nya', 'bukan', 'membernya']","['wkwkwk', 'lucu', 'kalii', 'di', 'boikot', 'produk', 'nya', 'bukan', 'membernya']",wkwkwk lucu kali di boikot produk nya bukan membernya,Negatif
Wed Jun 19 16:07:43 +0000 2024,jamadagni_rama,@AzzamIzzulhaq Disini umat dihimbau untuk boikot produk pro Zionis eh ketuanya NU malah berdialog santuy dengan setanyahu gimana ceritanya bang,disini umat dihimbau untuk boikot produk pro zionis eh ketuanya nu malah berdialog santuy dengan setanyahu gimana ceritanya bang,"['disini', 'umat', 'dihimbau', 'untuk', 'boikot', 'produk', 'pro', 'zionis', 'eh', 'ketuanya', 'nu', 'malah', 'berdialog', 'santuy', 'dengan', 'setanyahu', 'gimana', 'ceritanya', 'bang']","['disini', 'umat', 'dihimbau', 'boikot', 'produk', 'pro', 'zionis', 'eh', 'ketuanya', 'nu', 'malah', 'berdialog', 'santuy', 'setanyahu', 'gimana', 'ceritanya', 'bang']",sini umat dihimbau boikot produk pro zionis eh ketua nu malah dialog santuy setanyahu gimana cerita bang,Positif
Wed Jun 19 07:43:42 +0000 2024,taeggvkz,atp aku ga akan ngehype bts secara legal as in streaming beli produk dll selagi mereka masih ada hubungan dengan zionist zionist itu. aku muslim aku manusia yg punya hati. boikot kpop ga akan bikin biasku miskin ga akan bikin mereka mati.,atp aku ga akan ngehype bts secara legal as in streaming beli produk dll selagi mereka masih ada hubungan dengan zionist zionist itu aku muslim aku manusia yg punya hati boikot kpop ga akan bikin biasku miskin ga akan bikin mereka mati,"['atp', 'aku', 'ga', 'akan', 'ngehype', 'bts', 'secara', 'legal', 'as', 'in', 'streaming', 'beli', 'produk', 'dll', 'selagi', 'mereka', 'masih', 'ada', 'hubungan', 'dengan', 'zionist', 'zionist', 'itu', 'aku', 'muslim', 'aku', 'manusia', 'yg', 'punya', 'hati', 'boikot', 'kpop', 'ga', 'akan', 'bikin', 'biasku', 'miskin', 'ga', 'akan', 'bikin', 'mereka', 'mati']","['atp', 'aku', 'ga', 'ngehype', 'bts', 'legal', 'as', 'in', 'streaming', 'beli', 'produk', 'selagi', 'masih', 'hubungan', 'zionist', 'zionist', 'aku', 'muslim', 'aku', 'manusia', 'yg', 'punya', 'hati', 'boikot', 'kpop', 'ga', 'bikin', 'biasku', 'miskin', 'ga', 'bikin', 'mati']",atp aku ga ngehype bts legal as in streaming beli produk selagi masih hubung zionist zionist aku muslim aku manusia yg punya hati boikot kpop ga bikin bias miskin ga bikin mati,Positif
Wed Jun 19 08:08:17 +0000 2024,adorablerj_,anjir malu bgt udah pede nyinyirin idol lain taunya bias sendiri masih pake produk boikot ,anjir malu bgt udah pede nyinyirin idol lain taunya bias sendiri masih pake produk boikot,"['anjir', 'malu', 'bgt', 'udah', 'pede', 'nyinyirin', 'idol', 'lain', 'taunya', 'bias', 'sendiri', 'masih', 'pake', 'produk', 'boikot']","['anjir', 'malu', 'bgt', 'udah', 'pede', 'nyinyirin', 'idol', 'taunya', 'bias', 'sendiri', 'pake', 'produk', 'boikot']",anjir malu bgt udah pede nyinyirin idol tau bias sendiri pake produk boikot,Positif
Wed Jun 19 16:19:57 +0000 2024,delacoevr, gamau boikot produk pro israel malah pada blg boikot kan pilihan masing² jgn maksa ??? Padahal kasarnya kl rakyat biasa terang²an pro palestine pun ttp aman² aja plis kalian ga terkenal. Tapi artis² ini MUNGKIN kl terang²an ntah apa yg mengancam krn sedunia kenal dia.,gamau boikot produk pro israel malah pada blg boikot kan pilihan masing jgn maksa padahal kasarnya kl rakyat biasa terang an pro palestine pun ttp aman aja plis kalian ga terkenal tapi artis ini mungkin kl terang an ntah apa yg mengancam krn sedunia kenal dia,"['gamau', 'boikot', 'produk', 'pro', 'israel', 'malah', 'pada', 'blg', 'boikot', 'kan', 'pilihan', 'masing', 'jgn', 'maksa', 'padahal', 'kasarnya', 'kl', 'rakyat', 'biasa', 'terang', 'an', 'pro', 'palestine', 'pun', 'ttp', 'aman', 'aja', 'plis', 'kalian', 'ga', 'terkenal', 'tapi', 'artis', 'ini', 'mungkin', 'kl', 'terang', 'an', 'ntah', 'apa', 'yg', 'mengancam', 'krn', 'sedunia', 'kenal', 'dia']","['gamau', 'boikot', 'produk', 'pro', 'israel', 'malah', 'blg', 'boikot', 'kan', 'pilihan', 'masing', 'jgn', 'maksa', 'padahal', 'kasarnya', 'kl', 'rakyat', 'biasa', 'terang', 'an', 'pro', 'palestine', 'ttp', 'aman', 'aja', 'plis', 'kalian', 'ga', 'terkenal', 'artis', 'mungkin', 'kl', 'terang', 'an', 'ntah', 'apa', 'yg', 'mengancam', 'krn', 'sedunia', 'kenal']",gamau boikot produk pro israel malah blg boikot kan pilih masing jgn maksa padahal kasar kl rakyat biasa terang an pro palestine ttp aman aja plis kalian ga kenal artis mungkin kl terang an ntah apa yg ancam krn dunia kenal,Positif
Wed Jun 19 16:25:59 +0000 2024,delacoevr,Kalo pengen bebasin orang mo boikot apa ngga bebasin jg dong artis mo speakup apa ngga. Kalo maksa artis speakup paksa jg orang² boikot produk zionis.,kalo pengen bebasin orang mo boikot apa ngga bebasin jg dong artis mo speakup apa ngga kalo maksa artis speakup paksa jg orang boikot produk zionis,"['kalo', 'pengen', 'bebasin', 'orang', 'mo', 'boikot', 'apa', 'ngga', 'bebasin', 'jg', 'dong', 'artis', 'mo', 'speakup', 'apa', 'ngga', 'kalo', 'maksa', 'artis', 'speakup', 'paksa', 'jg', 'orang', 'boikot', 'produk', 'zionis']","['kalo', 'pengen', 'bebasin', 'orang', 'mo', 'boikot', 'apa', 'ngga', 'bebasin', 'jg', 'dong', 'artis', 'mo', 'speakup', 'apa', 'ngga', 'kalo', 'maksa', 'artis', 'speakup', 'paksa', 'jg', 'orang', 'boikot', 'produk', 'zionis']",kalo ken bebasin orang mo boikot apa ngga bebasin jg dong artis mo speakup apa ngga kalo maksa artis speakup paksa jg orang boikot produk zionis,Negatif
Wed Jun 19 15:07:14 +0000 2024,Krbl90Pky,@yosefikr China aja bs bikin sosmed sendiri. Kata nya kmren hrs boikot semua produk asing skrng malah ribut sosmed di blokir. Bukan sosmed semua produk barat? Wkwkwk ,china aja bs bikin sosmed sendiri kata nya kmren hrs boikot semua produk asing skrng malah ribut sosmed di blokir bukan sosmed semua produk barat wkwkwk,"['china', 'aja', 'bs', 'bikin', 'sosmed', 'sendiri', 'kata', 'nya', 'kmren', 'hrs', 'boikot', 'semua', 'produk', 'asing', 'skrng', 'malah', 'ribut', 'sosmed', 'di', 'blokir', 'bukan', 'sosmed', 'semua', 'produk', 'barat', 'wkwkwk']","['china', 'aja', 'bs', 'bikin', 'sosmed', 'sendiri', 'kata', 'nya', 'kmren', 'hrs', 'boikot', 'semua', 'produk', 'asing', 'skrng', 'malah', 'ribut', 'sosmed', 'blokir', 'bukan', 'sosmed', 'semua', 'produk', 'barat', 'wkwkwk']",china aja bs bikin sosmed sendiri kata nya kmren hrs boikot semua produk asing skrng malah ribut sosmed blokir bukan sosmed semua produk barat wkwkwk,Negatif
Wed Jun 19 04:04:53 +0000 2024,haerinpacarku,anw semangat boikotnyaa teman teman pro pal ayo terus boikot barang/produk yg hasilnya masuk ke onoh,anw semangat boikotnyaa teman teman pro pal ayo terus boikot barang produk yg hasilnya masuk ke onoh,"['anw', 'semangat', 'boikotnyaa', 'teman', 'teman', 'pro', 'pal', 'ayo', 'terus', 'boikot', 'barang', 'produk', 'yg', 'hasilnya', 'masuk', 'ke', 'onoh']","['anw', 'semangat', 'boikotnyaa', 'teman', 'teman', 'pro', 'pal', 'ayo', 'terus', 'boikot', 'barang', 'produk', 'yg', 'hasilnya', 'masuk', 'onoh']",anw semangat boikotnyaa teman teman pro pal ayo terus boikot barang produk yg hasil masuk onoh,Negatif
Wed Jun 19 12:54:14 +0000 2024,aipondelapan,@erlanishere Aku juga begitu soalnya kesel bgt sama yg memaksakan boikot. Aku juga lagi beralih dari produk yg pro isriwil tapi semua butuh proses mau lgsg boikot semua ya silahkan. Kalo aku yang masih otw ya biarin juga. tau tujuannya baik tapi caranya maksa cara sampah gasuka!,aku juga begitu soalnya kesel bgt sama yg memaksakan boikot aku juga lagi beralih dari produk yg pro isriwil tapi semua butuh proses mau lgsg boikot semua ya silahkan kalo aku yang masih otw ya biarin juga tau tujuannya baik tapi caranya maksa cara sampah gasuka,"['aku', 'juga', 'begitu', 'soalnya', 'kesel', 'bgt', 'sama', 'yg', 'memaksakan', 'boikot', 'aku', 'juga', 'lagi', 'beralih', 'dari', 'produk', 'yg', 'pro', 'isriwil', 'tapi', 'semua', 'butuh', 'proses', 'mau', 'lgsg', 'boikot', 'semua', 'ya', 'silahkan', 'kalo', 'aku', 'yang', 'masih', 'otw', 'ya', 'biarin', 'juga', 'tau', 'tujuannya', 'baik', 'tapi', 'caranya', 'maksa', 'cara', 'sampah', 'gasuka']","['aku', 'begitu', 'soalnya', 'kesel', 'bgt', 'sama', 'yg', 'memaksakan', 'boikot', 'aku', 'lagi', 'beralih', 'produk', 'yg', 'pro', 'isriwil', 'semua', 'butuh', 'proses', 'mau', 'lgsg', 'boikot', 'semua', 'silahkan', 'kalo', 'aku', 'masih', 'otw', 'biarin', 'tau', 'tujuannya', 'baik', 'caranya', 'maksa', 'cara', 'sampah', 'gasuka']",aku begitu soal kesel bgt sama yg paksa boikot aku lagi alih produk yg pro isriwil semua butuh proses mau lgsg boikot semua silah kalo aku masih otw biarin tau tuju baik cara maksa cara sampah gasuka,Negatif
Wed Jun 19 14:05:26 +0000 2024,rararahman94,@Bang_Muun Lah dlu nenek moyang kita ngelawan belanda jg maling dan make senjata bawaan belanda jg lah. Lagian yg kami boikot jg produk yg punya subtitusinya. Kalo ada pengganti selain google ya kami siap ganti aplikasi lah. Lu bikin aplikasinya nnt kami yg beli. Kami kaya raya kok ,muun lah dlu nenek moyang kita ngelawan belanda jg maling dan make senjata bawaan belanda jg lah lagian yg kami boikot jg produk yg punya subtitusinya kalo ada pengganti selain google ya kami siap ganti aplikasi lah lu bikin aplikasinya nnt kami yg beli kami kaya raya kok,"['muun', 'lah', 'dlu', 'nenek', 'moyang', 'kita', 'ngelawan', 'belanda', 'jg', 'maling', 'dan', 'make', 'senjata', 'bawaan', 'belanda', 'jg', 'lah', 'lagian', 'yg', 'kami', 'boikot', 'jg', 'produk', 'yg', 'punya', 'subtitusinya', 'kalo', 'ada', 'pengganti', 'selain', 'google', 'ya', 'kami', 'siap', 'ganti', 'aplikasi', 'lah', 'lu', 'bikin', 'aplikasinya', 'nnt', 'kami', 'yg', 'beli', 'kami', 'kaya', 'raya', 'kok']","['muun', 'lah', 'dlu', 'nenek', 'moyang', 'ngelawan', 'belanda', 'jg', 'maling', 'make', 'senjata', 'bawaan', 'belanda', 'jg', 'lah', 'lagian', 'yg', 'boikot', 'jg', 'produk', 'yg', 'punya', 'subtitusinya', 'kalo', 'pengganti', 'google', 'siap', 'ganti', 'aplikasi', 'lah', 'lu', 'bikin', 'aplikasinya', 'nnt', 'yg', 'beli', 'kami', 'kaya', 'raya', 'kok']",muun lah dlu nenek moyang ngelawan belanda jg maling make senjata bawa belanda jg lah lagi yg boikot jg produk yg punya subtitusinya kalo ganti google siap ganti aplikasi lah lu bikin aplikasi nnt yg beli kami kaya raya kok,Negatif
Wed Jun 19 04:32:09 +0000 2024,Rokib_saidani,Perusahaan mamarika di Indonesia mulai PANIK karena kekompakan untuk tetap BOIKOT PRODUK MAMARIKA mereka mulai difisit keuangan pantes buzzeer zionis pesek pada keluar kandang Slow Masi banyak produk lainnya Tetap stay BOIKOT PRODUK MAMARIKA,perusahaan mamarika di indonesia mulai panik karena kekompakan untuk tetap boikot produk mamarika mereka mulai difisit keuangan pantes buzzeer zionis pesek pada keluar kandang slow masi banyak produk lainnya tetap stay boikot produk mamarika,"['perusahaan', 'mamarika', 'di', 'indonesia', 'mulai', 'panik', 'karena', 'kekompakan', 'untuk', 'tetap', 'boikot', 'produk', 'mamarika', 'mereka', 'mulai', 'difisit', 'keuangan', 'pantes', 'buzzeer', 'zionis', 'pesek', 'pada', 'keluar', 'kandang', 'slow', 'masi', 'banyak', 'produk', 'lainnya', 'tetap', 'stay', 'boikot', 'produk', 'mamarika']","['perusahaan', 'mamarika', 'indonesia', 'mulai', 'panik', 'kekompakan', 'tetap', 'boikot', 'produk', 'mamarika', 'mulai', 'difisit', 'keuangan', 'pantes', 'buzzeer', 'zionis', 'pesek', 'keluar', 'kandang', 'slow', 'masi', 'banyak', 'produk', 'lainnya', 'tetap', 'stay', 'boikot', 'produk', 'mamarika']",usaha mamarika indonesia mulai panik kompak tetap boikot produk mamarika mulai difisit uang pantes buzzeer zionis pesek keluar kandang slow mas banyak produk lain tetap stay boikot produk mamarika,Negatif
