created_at,full_text,Sentimen
Thu Dec 28 10:35:18 +0000 2023,tanyarl ternyata dunkin sampe buat donat israHELL tetap semangat boikot produk yang mendukung israHELL! https://t.co/FH68VSdAYN,Netral
Wed Jun 05 06:16:04 +0000 2024,STARBUCK DIGANTI NAMA VISTA COFFEE PIZZA HUNT DIGANTI NAMA JADI RISTORANTE TETAP BOIKOT PRODUK PRO ZIONIS ISRAIHELL https://t.co/cglUpp2zYQ,Netral
Sat Jun 08 03:55:30 +0000 2024,Padahal lebih banyak cara untuk ajakan boikot yang lebih simpatik dan tidak mengganggu privacy orang lain. Konsumen produk yg mungkin diboikot adalah berhak apa dia bayar tidak sepantasnya kita menyerangnya krn perbedaan prinsip ttg Palestina. https://t.co/D6ZA3LgOEf https://t.co/D25yi8ihVi,Netral
Fri Jun 07 00:13:35 +0000 2024,Masih semangat Boikot produk Zionis dan yang terafiliasi.. salah satu cara keberpihakan kita sama penderitaan dan.perjuangan saudara kita di Palestina https://t.co/Fb6ELKvhme,Netral
Sat Nov 11 13:46:18 +0000 2023, ternyata udah ada fatwa MUI ya soal boikot produk. utk skincare make up dan body-hair-personal care sih gak repot krn udah setahun hijrah pake oriflame. yg agak peer nih makanan https://t.co/04rJYHoRCq,Netral
Sat Feb 24 11:13:57 +0000 2024,Calon wapres pemilu kita yg 8 bulan lagi kemungkinan besar dilantik. Beliau Makai botol plastik dan produk boikot https://t.co/OpXKChOJgk,Netral
Fri Jun 14 11:41:18 +0000 2024,Ayo teruskan boikot produk Zionis demi keadilan dan perdamaian #TerusBoikotIsrael https://t.co/WO5gAb5AuC,Netral
Tue Nov 14 13:13:39 +0000 2023,Guys masih tetap boikot produk atau komoditas yg berafiliasi dengan Zionis Israel kan? FYI bahwa setiap harinya Zionis Israel harus mengeluarkan anggaran sebanyak $260 Juta. Artinya sampai hari ini mereka sudah mengeluarkan anggaran sebesar $10 14 Milyar. Belum lagi mereka https://t.co/kfliPPVzVb,Netral
Wed Jun 05 14:07:51 +0000 2024,Segala bentuk penjajahan di atas muka bumi harus dihapuskan termaktub dalam pembukaan UUD 1945. Maka menentang penjajahan zionis di tanah palestina menjadi kewajiban kita semua dengan cara dan bentuk apapun yg kita bisa. Salah satunya dengan perjuangan boikot brand/produk https://t.co/YoGL0z3Us5,Netral
Mon Jan 08 12:00:12 +0000 2024,tanyarl astaghfirullah israHELL buat mainan bayi kaya gini israHELL BIADAB tetap semangat boikot produk israHELL!!!!! https://t.co/tXLKIUGrqo,Netral
Sat Jun 08 05:19:19 +0000 2024,Aksi para pendukung palestina di Makasar Mereka menyambangi sebuah gerai kopi di jln AP Pettarani Makassar dan mengajak para pengunjung melakukan boikot produk yg terafiliasi isra El Jumat 06.06.24 https://t.co/iiMyCaPyau,Netral
Fri Jun 07 09:59:44 +0000 2024,Tetap boikot produk yang terafiliasi dengan teroris haram jadah zionis Israel. Dimulai dari saya dulu. #FreePalestine #StopGazaGenocide‌ sabrina Plaza Indonesia Asian Value Total Politik Tubruk Pandji Muhammadiyah. https://t.co/AV9WorAmjz,Netral
Fri Nov 10 04:47:35 +0000 2023, Berasa bangga ama Aurora pas ngestalk insta nya jarang² artis luar terutama barat yang terang² an menyuarakan Pllestin ampe ikut² an boikot produk pro israhell. Kuy dengerin lagu²nya bagus banget buat yang suka ovt https://t.co/NEzufSG3ke,Positif
Sat Jun 08 10:15:50 +0000 2024,DAMPAK BOIKOT PRODUK PENDUKUNG ISRAHELL DI SELURUH DUNIA SUNGGUH LUAR BIASA‼️ https://t.co/H9knFikbJn,Netral
Sun Jun 09 07:45:32 +0000 2024,BUTUH 50 RESPONDEN LAGI!! YUK LUR BANTU ISI Jika kamu: 1. Melakukan pembelian dan konsumsi produk Unilever minimal satu kali sebelum 7 Oktober 2023. 2. Melakukan boikot produk Unilever setelah 7 Oktober 2023. 3. Telah melihat atau membaca berita tentang konflik (cont..) https://t.co/MWI7pzSpJq,Netral
Wed May 29 22:50:00 +0000 2024, cw // kpop genos*de z1onist Sok siapa lagi artis yg terang2an pake/endorse produk israhell? Spill di komen biar yg lain pada tau. Kita boikot rame2!! 🇵🇸 https://t.co/0Bf9t1M3Pp,Netral
Sun Jun 09 23:20:41 +0000 2024,Boikot itu artinya : kamu tidak membeli produk yg diboikot. Bukannya malah : memukuli orang lain yg tidak memboikot produk tersebut. Dan lagi apa faedahnya mukulin saudara sebangsa setanah air yg cuman minum kopi demi membela bangsa asing ?? https://t.co/yrH7imdpf1,Netral
Sat Jun 08 15:32:13 +0000 2024,Aksi Bela Palestina di Bandung dan Jakarta Massa Ajak Boikot Produk Israel Kebiadaban Israel terhadap Palestina mengundang simpati ribuan warga Bandung dan Jakarta untuk menyerukan kemerdekaan pada Pelestina. Dalam aksi tersebut massa juga meminta pada warga Indonesia untuk https://t.co/HfrWNWBlZh,Netral
Tue Jun 11 01:05:29 +0000 2024,Boikot gak ngaruh? NGARUH Seumur-umur baru kali ini dapat WA-blast dari bank eh isinya info diskon produk boikot. Diskon hampir separuh harga dalam dua hari selama sepekan. Bener-bener niat cari pelanggan ini mah. https://t.co/qlbkcuYFqp,Netral
Fri Mar 15 06:14:12 +0000 2024,Yg biasa mampir di kopi kenangan sebaiknya di re kondisikan deeh Gw sekali waktu di semarang sama ayank minum kopi kenangan Coba cek juga produk dibawah ini Lanjut boikot produk2 yg Berafili dgn Zionis ya gesss... https://t.co/umV0ZwroUI,Netral
Wed Jun 12 21:08:42 +0000 2024,Tetap boikot produk pendukung genosida yang terafiliasi dgn teroris zionis Israel kalau bisa tinggalkan untuk selama-lamanya. Sarwendah Syifa Ruben Harun Masiku Anang BABY MONSTER LPDP SNBT. https://t.co/ba5S2SyNaC,Netral
Wed Nov 15 18:19:27 +0000 2023,Jika boikot produk atau komoditas yg berafiliasi dengan Zionis Israel dan negara-negara sekutunya itu tidak berpengaruh apa-apa mengapa mereka: 1. Mendadak klarifikasi 2. Mendadak 'peduli dan donasi'. 3. Mendadak mengubah desain kemasan tema dll yg lebih 'ramah Palestina'.,Netral
Tue Jun 11 14:24:14 +0000 2024,Thank you the Chinese government and the Chinese people for providing support to Gaza Palestine 🇵🇸 Jangan mau diadu domba Yaman dan China oleh politik mamarika yg ada disini Tetap boikot produk mamarika https://t.co/3BMJrug2wg,Netral
Fri Jun 14 05:55:48 +0000 2024,Hapalkan baik-baik. Kita #Boikot produk-produk ini bersama-sama ️🇵🇸 #TerusBoikotIsrael https://t.co/q5FJr9DKRK,Netral
Sat Jun 01 04:53:40 +0000 2024,BOIKOT JKT48 bekerjasama dengan brand pro isri-wil ini beberapa screenshot dari member dan fanbase mereka yang masih promosiin produk pro isri-wil. KEEP BOYCOTTING TANPA PILIH-PILIH - star https://t.co/YRk70QMvyG,Netral
Sat Jun 08 10:25:33 +0000 2024,KAMMI Bandung Serukan Lagi Aksi Boikot Produk Pro Zionis - https://t.co/YIcPEIZv8Q https://t.co/9K2Y5XH3HI,Netral
Fri Jun 14 09:43:13 +0000 2024,Meskipun gerakan boikot terhadap berbagai produk yang diduga terafiliasi dengan israhelll baru pertama kali terjadi namun jika kita cermati lagi boikot yang terjadi hari ini senada dengan janji kemerdekaan yang tertuang dalam Pembukaan UUD 1945. #TerusBoikotIsrael,Netral
Mon Jun 10 14:27:42 +0000 2024,FRRR. lu mau naikin ht silakan sebanyak banyaknya. tp jangan larang org buat ngehype member itu udh pilihan dia dan lu pd gaada hak buat ngelarang. kecewa lah dll freakkkk urus aja hidup lu sendiri gausah urusin hidup org. boikot produk bukan artis idiot. beneran kesel gua jir,Netral
Mon Jun 10 08:29:55 +0000 2024,menurutku ini salah satu kopi terbaik di daerah ku dan harga nya jauh lebih murah daripada sbux segini aja harga nya 23rb coy makanya daripada kalian beli produk boikot masih ada kok tempat lain yang bahkan jauh lebih enak dan lebih murah. https://t.co/aOq234WJdw,Netral
Wed Jun 05 12:42:59 +0000 2024,Wasekjen MUI: Boikot produk terafiliasi Israel adalah jihad. #boycott https://t.co/cXrWiBgouO,Netral
Fri Jun 07 23:35:58 +0000 2024,@shinchandil ya ini beda. mereka cuma nempel stiker boikot produk. melawan bisnis penyokong zionis. ini pemahamanku ttg boikot. https://t.co/2UfzGD5rau,Netral
Sun Jun 09 07:15:32 +0000 2024,@dearpupies @tanyarlfes Standar ganda apanya sih kak? LV itu gk masuk list BDS tp kalo kamu mau boikot ya silahkan itu hak mu. udah 8 bulan lebih genosida dan kampanye boikot masih banyak yg gangerti. boikot yg efektif itu bukan semua produk diboikot tapi yg terfokus jangka panjang dan masif. https://t.co/tIOjmXtA5u,Netral
Fri Jun 14 06:11:43 +0000 2024,Boikot terhadap produk produk yang memberi dukungan terhadap Isr4el membuat saham perusahaan terus anjlok. Lanjut boikot jangan kasih kendor ️🇵🇸 #TerusBoikotIsrael https://t.co/DBt1S8jkkN,Netral
Tue Jun 11 06:53:58 +0000 2024,Otomatis satu lingkungan RT kami di Bojongkulur pun tidak mau pakai produk @OPPOIndonesia lagi. Coba aja di check. Kec Gn putri. Banyak di boikot produk @OPPOIndonesia gara2 di boti Robby Purba ini,Netral
Thu Jun 13 16:05:24 +0000 2024,Tetap Istiqomah dan Lanjutkan Boikot Semua Produk Israel Yahudi Demi Membela Palestina dari GENOSIDA TERORIS ZIONIS YAHUDI. @myputun https://t.co/0X0GvT36SR,Netral
Sat Jun 15 07:09:06 +0000 2024,𝑷𝒆𝒎𝒆𝒓𝒊𝒏𝒕𝒂𝒉 Harus Tegas Mengklarifikasi Daftar Produk/Perusahaan Yang Terafiliasi Israel Mencegah Kegaduhan Dalam Masyarakat. 𝑱𝒊𝒌𝒂 Aksi Boikot Terus Berlarut Semakin Banyak Perusahaan Bangkrut Dan Jutaan Jiwa Di PHK. 𝑵𝒈𝒂𝒏𝒈𝒈𝒖𝒓 https://t.co/iDCYI89Ti8 https://t.co/O2ZmBPzCoG,Netral
Sat May 25 10:50:35 +0000 2024, Masih bingung antara boikot produk Zionis atau peduli lingkungan guys https://t.co/nTUaHwqMaR,Netral
Thu Jun 13 17:02:03 +0000 2024,Boikot produk-produk setan! Tidak ada kata netral. 🇮🇩️🇵🇸 https://t.co/NSJBgC4jFO,Netral
Fri Jun 07 21:17:04 +0000 2024,Jika boikot terhadap produk yg terafiliasi dengan penjajahan tidak berpengaruh lalu untuk apa segala macam promosi dan discount digencarkan? Tetap jauhi. Jika tak peduli tentang pembantaian dan penjajahan pedulilah tentang kesehatan. Ya kesehatan tubuh kalian. https://t.co/8V1Wu4NQCV,Netral
Sat Apr 06 23:01:47 +0000 2024,tanyarl liat nih idol lokal yg pake produk boikot + melanggar golden rules JKT48 ga member ga staff sama aja tolong kasih edukasi ya ke member dan staff nya juga fansnya jangan tutup mata!! tapi ada juga yg mengedukasi (sender salut) https://t.co/IsfYOr5PXd,Netral
Fri Jun 14 07:13:26 +0000 2024,Mari kita Boikot sama-sama produk Zionis Isr4hell sesuai Fatwa MUI Daftar produk Isr4el yang ada di Indonesia #TerusBoikotIsrael https://t.co/ZSZJQzOhvE,Netral
Sat Jun 08 02:25:00 +0000 2024,Terlepas dari adanya aksi boikot konsumen berhak utk memilih produk apa yg dia mau beli produsen atau penyedia jasa/barang tdk bisa menyalahkan konsumen utk pilihannya itu Byk yg bisa survive dari sejak jaman covid yakin rezeki itu ada dimana2 berdoa &amp; ikhtiar terus ya https://t.co/GzGnY9r9f4,Netral
Fri Jun 14 06:16:53 +0000 2024,Boikot produk-produk setan! Tidak ada kata netral. #TerusBoikotIsrael https://t.co/6esXDwBt99,Netral
Fri May 31 11:26:19 +0000 2024,TW// CW// BOIKOT Hyeri terang an promosiin produk isri-wil &amp; (di ige K F C Korea isinya muka dia semua) &amp; bbrp bulan lalu foto pegang co ca-co la di feeds KEEP BOYCOTTING TANPA PILIH-PILIH -star https://t.co/tZGq1bBn6Z,Netral
Thu Jun 13 04:48:51 +0000 2024,BENER. WORTH IT. JADI mari kita mulai rajin kalo lagi belanja cek barcode dulu pake ini hihii bermanfaat banget buat kita² yg lg boikot produk isriwil https://t.co/2EWFdPAX9a,Netral
Sat Jun 08 06:17:17 +0000 2024,BUTUH 80 RESPONDEN!! kriteria: 1. Melakukan pembelian produk Unilever minimal 1x sebelum 7 Oktober 2023. 2. boikot produk Unilever setelah 7 Oktober 2023. 3. Membaca berita tentang konflik Israel-Palestina Sender minta tolong isi kuesioner ya!! Reply aja daks https://t.co/oj8rZzrFOZ,Netral
Fri Jun 14 06:16:40 +0000 2024,Tetap semangat boikot produk Isr4el #TerusBoikotIsrael https://t.co/B5UfsCLPhL,Netral
Mon Jun 10 12:15:49 +0000 2024,Bismillah Ada apa dgn anak² skrng ini Dgn usia mereka yg se muda itu sdh bicara yg tdk baik soal Warga Palestina yg skrng di Genosida Zionis!! Tontonan yg mereka lihat dgn pemberitaan pro &amp; kontranya soal Boikot Produk Israel membuat anak² ini tak ada rasa empati Miris!! https://t.co/BU8TZuNJsy,Netral
Fri Jun 14 07:19:55 +0000 2024,Video Menarik knp kita harus memboikot barang2 Isr4el!? Mohammed al-Nas pemuda asal Libya mengunggah klip bertema boikot produk pro-Isr4el yg menarik perhatian pengguna medsos. Sebarkan agar semakin banyak org yg sadar knp harus membaikot produk Isr4el!? #TerusBoikotIsrael https://t.co/iVgoUa7rqw,Netral
Thu Jun 13 14:11:35 +0000 2024,Zaman sekarang dah tak valid bad marketing. Sifu mana ajar copywriting ni. Ingat orang kecam dan nampak produk ni takkan beli pun. Siap akan hasut orang lain untuk boikot.,Netral
Fri Jun 14 06:11:31 +0000 2024,Boikot Produk Isr4el dan produk pundukung genosida #TerusBoikotIsrael https://t.co/iBVHp7qTPN,Netral
Wed Jun 12 14:23:48 +0000 2024,tolonng ini bisa bisanya di dalem biskuitnya ada garemnya coba kombinasi baru garam dan coklat inimah Kalo boleh kirim 1 dus buat ganti kepercayaan customermu ini karna produk sebelah boikot https://t.co/mckSACeKW9,Netral
Wed Jun 05 12:27:35 +0000 2024,Kontol bener ya buzzer republik jadiin boikot produk pendukung genosida jadi isu muslim vs non-muslim. Tiap hari bacot tentang toleransi ampe berbusa sekarang genosida pun ditoleransi,Netral
Fri Jun 14 03:24:38 +0000 2024,🇵🇸 Aktivis Tunisia🇹🇳 menyerukan boikot terhadap produk-produk yang mendukung Zionist Yahudi. #GazaGenocide‌ #FreePalestineFromZionists #FreePalestine 🇵🇸 https://t.co/wlLquqIvk8,Netral
Fri Jun 14 04:35:40 +0000 2024,Meskipun gerakan boikot terhadap berbagai produk yang diduga terafiliasi dengan Israel baru pertama kali terjadi namun jika kita cermati lagi boikot yang terjadi hari ini senada dengan janji kemerdekaan yang tertuang dalam Pembukaan UUD 1945. #TerusBoikotIsrael,Netral
Fri Jun 14 05:59:34 +0000 2024,Boikot produk-produk Isr4hell dan produk-produk yang mendanai Isr4hell ️🇵🇸 #TerusBoikotIsrael https://t.co/kPeLCUIe8w,Netral
Mon Jun 10 08:31:11 +0000 2024,Bismillah Ajakan Boikot Produk Israel di Tanah Air bnyk dilemanya masih bnyk buzzer² pendukung zionis pd berkeliaran !! Ajakan boikot secara halus salah !! Boikot dgn Aksi demi kesadaran kita jg masih salah !! Pointnya : Kesadaran warga +62 tntng boikot ini sangat kurang !! https://t.co/fTSgCKOhQD,Netral
Fri Jun 14 09:34:37 +0000 2024,aksi boikot produk yang dianggap terafiliasi dengan israhelll masih terus berlanjut #TerusBoikotIsrael,Netral
Fri Jun 07 14:11:53 +0000 2024,Emak-emak Inggris dengan berani mendatangi supermarket besar lalu menempelkan stiker boikot di produk asal Israel dan produk dari perusahaan yang mendukung penjajahan dan genosida Israel atas Palestina. Kalau di Konoha pasti emak-emak ini sudah ada yang nyinyirin... https://t.co/tPEgTu6Kjq,Netral
Tue Jun 11 05:42:08 +0000 2024,Kata siapa mau boikot atau nggak silahkan? Gerakan ini menghujat siapapun yang gak mau baikot. Menghujat siapapun yang menikmati produk yan mereka boikot. Dan sekarang kalian bangga membully Dan mendoxing bocil SMP seolah2 mereka yakin kalau nih bocil gak bisa dididk baik2,Netral
Fri Jun 07 10:06:15 +0000 2024,MENANGGUNG RUGI KARENA BOIKOT KATA SIAPA BOIKOT NGGA NGARUH? AYO BOIKOT TERUS PRODUK ISRAHELL‼️ https://t.co/NDH3ozZReo,Netral
Fri Jun 14 11:15:32 +0000 2024,Solidaritas nyata: boikot produk Zionis untuk Palestina #TerusBoikotIsrael https://t.co/V0xupzCgNh,Netral
Mon Jun 10 23:39:41 +0000 2024,Ternyata kaum syi'ah itu hanya gimmick pd konflik di Palestina. Contoh penyerangan Iran di tel afif kemarin itupun gimmick. Jgn tergoda tetap boikot produk pangan negara² yg terafiliasi isrewel. Assalamu'alaikum sobatku org² baik. #FreePalestine #FreeGazaRafah ️ https://t.co/ANVC3L42Is,Netral
Fri Jun 14 11:41:08 +0000 2024,Setiap langkah kita penting: boikot produk Zionis untuk keadilan. #TerusBoikotIsrael https://t.co/MUXl6jGRpx,Netral
Fri Jun 14 11:40:38 +0000 2024,Bersatu dalam aksi: boikot produk Zionis sekarang #TerusBoikotIsrael https://t.co/H82JD20zK8,Netral
Fri Jun 14 11:19:44 +0000 2024,Mari bersama-sama boikot produk Zionis demi kemanusiaan #TerusBoikotIsrael https://t.co/4Y26hJe8En,Netral
Fri Jun 14 11:00:56 +0000 2024,Solidaritas untuk Palestina: Boikot produk Zionis dan produk yg pro Isrewel #TerusBoikotIsrael https://t.co/7AopiwrSb8,Netral
Thu Jun 06 01:40:40 +0000 2024,Merujuk pada lembaga dan Organisasi kredibel dalam melakukan aksi boikot agar gerakan boikot lebih fokus dan terhindar dari jebakan penumpang gelap persaingan bisnis Salah satunya dengan perjuangan boikot brand/produk pendukung zionis yg sudah diinfokan oleh @GerakanBDS_ID https://t.co/KCwPT4b69Y,Netral
Sat Jun 08 06:16:33 +0000 2024,BUTUH 80 RESPONDEN!! kriteria: 1. Melakukan pembelian produk Unilever minimal 1x sebelum 7 Oktober 2023. 2. boikot produk Unilever setelah 7 Oktober 2023. 3. Membaca berita tentang konflik Israel-Palestina Sender minta tolong isi kuesioner ya!! Reply aja sdf! https://t.co/iIukaOwCjY,Netral
Thu Jun 13 00:52:39 +0000 2024,Keuntungan dari boikot produk zionis https://t.co/BYJHqmP94L,Netral
Sun Jun 09 00:24:25 +0000 2024,lagian beli produk boikot ,Netral
Thu Jun 13 23:40:18 +0000 2024,Ternyata seruan boikot produk pendukung israel itu berasal dari hamas dan hamas pesek yang berciri salafi Wahabi jodat gosong katok cingkrang dan jenggotan panjang kayak rabbi yahudi,Netral
Fri Jun 14 07:25:30 +0000 2024,iya kan makanya gue agak kesel sama orang yang ngeluh boikotnya banyak blablabla ya kalo gak bisa boikot semua ya ikut list bds aja anjir gue juga belom bisa stop semua produk pro sana tapi ya gue konsisten ngikutin bds karena ini yang paling utama:),Netral
Fri Jun 07 09:11:37 +0000 2024,Boikot Yuk Produk Produk ABC @KraftHeinzCo @CocaCola_ID @MDLZ @Pizza_HutID @pizzahut #Boycott this Produk.. https://t.co/JpaOFHm7qe,Netral
Fri Apr 12 02:52:49 +0000 2024, TW // CW // BOIKOT Tiada hari tanpa artis korea konsumsi produk zio-nist Mbak Hyeri terang an promosiin produk isri-wil sampai photoshoot breng burger K F C &amp; beberapa bulan lalu foto pegang co ca-co la taroh feeds PLEASE KEEP BOYCOTTING EDUCATE TANPA PILIH-PILIH https://t.co/2eHYIMQTo6,Netral
Sat Jun 15 12:19:06 +0000 2024,Prihatin Situasi di Gaza KOSPY Keluarkan 9 Sikap Termasuk Boikot Produk yang Terafiliasi Zionis https://t.co/U8E5YEr3T1 #TempoNasional,Netral
Thu Jun 06 01:07:32 +0000 2024,Saya pergi kebanyakan Mamak tukar produk. Maggi ke Indomie Numee Cintan. Milo ke Myvic. Nescafe ke Indocafe. Tapi ada kedai melayu yang tak ada kesedaran boikot produk Nestle.,Netral
Tue Jun 11 10:53:30 +0000 2024,Pada tau kan arti NAPITER ? Ko 11 12 ya dengan para pendukung Palestina yg boikot produk Israel. Terus main fisik ? Yahhh sama juga kelakuannya sm Hamas teroris. Menyedihkan.,Netral
Sat Jun 15 04:59:14 +0000 2024,Pemerintah harus urun rembuk soal boikot harus ada edukasi agar tak menambah beban ekonomi seperti yg diminta PHRI. Minimal memberikan guideline utk Gerakan sosial yang dilakukan masyarakat. agar tak menjadi liar dan dimanfaatkan untuk kepentingan bisnis https://t.co/bFz4IwiBaS https://t.co/ftO2j4JL9q,Netral
Thu Jun 06 20:07:41 +0000 2024,Wasekjen MUI kobarkan 'Jihad' boikot produk terafiliasi Israel https://t.co/sTNI63ZRqe,Netral
Mon Jun 10 05:52:55 +0000 2024,RESEP LASAGNA TANPA OVEN??️ ternyata bisa loh bikin lasagna tanpa oven.. dan tanpa pake produk boikot juga tentunya. simple enak puas! YUMMERS https://t.co/020JgsMcDQ,Netral
Fri Jun 07 12:52:43 +0000 2024,Sekali lagi gw berharap semoga informasi MUI mau bikin fatwa mempromosikan atau jadi BA produk terafiliasi Israel hukumnya haram bukan cuma jadi desas desus doang semoga aja beneran jadi kenyataan Jangan sampai nantinya gerakan boikot untuk melemahkan Israel justru melemah https://t.co/PiaoroMlIc,Netral
Fri Jun 14 14:34:30 +0000 2024,Pemerintah harus urun rembuk soal boikot harus ada edukasi agar tak menambah beban ekonomi seperti yg diminta PHRI. Minimal memberikan guideline utk Gerakan sosial yang dilakukan masyarakat. agar tak menjadi liar dan dimanfaatkan untuk kepentingan bisnis. https://t.co/rlO9wZU4Vy https://t.co/Ie96hBKlyO,Netral
Sat Jun 08 12:46:10 +0000 2024,Lho ada produk boikot si PEPSI ,Netral
Fri Jun 14 11:06:06 +0000 2024,Ulama yang juga dai kondang ini gigih dalam aksi boikot produk Israel. 2013 pernah dicalonkan menjadi wakil walikota Makassar dan Kini Partai politik meliriknya untuk dicalonkan menjadi walikota Makassar. Saksikan One on One bersama Tysa Novenny malam ini pkl 20.00 WIB di https://t.co/azFN6VY7T7,Netral
Sun Jun 09 15:28:32 +0000 2024,Massa Serukan Aksi Boikot Produk Terafiliasi Zionis - Sindo Sore 09/06 https://t.co/DFIlv0yL8V,Netral
Fri Jun 14 00:15:32 +0000 2024,Jujur aku dari dulu hampir ga pernah beli produk yg ada di target boikot itu karena selain pertimbangan harga lokasinya jg lumayan jauh dr rumah ((mager)). Pernah tp bukan yg terus2an. Hamdalah di daerah rumah tuh banyak penjual makanan kayak yg target boikot dan lebih enak.,Netral
Sat Nov 11 00:36:31 +0000 2023,Postingan saya tentang fatwa boikot produk Israhell dari MUI di semua medsos saya langsung diserang Buzzer Z10N1S. Komen selain maki2 juga banyak yg komen ayo tinggalkan IG FB klo ceramah ke luar kota atau umroh haji jgn naik Boieng dsj. Hehehe...makanya baca fatwa lengkap. MUI,Netral
Thu Jun 13 10:43:12 +0000 2024,Cukup serukan boikot produk gosah ngerusak palagi sampe melukai orang. Dah gitu pengecut mau lari ke Sorong. Hal2 smacem ini dan orang2 anarkis bgini klo dibiarkan bakal picu perpecahan bangsa sndiri.. Ane setuju tindakan aparat cyduk! https://t.co/81h3D9oLqU https://t.co/17M7Ra4E1G,Netral
Sat Jun 08 04:03:20 +0000 2024,@yjunxchoi C0la ga masuk bds Bukan fokus boikot kita Yj setelah banyak yg komen gitu juga terus ganti minumnya ke air putih So. Keknya kita yang perlu diedukasi biar tau produk apa aja yang diboikot https://t.co/cSNVbygWMe,Netral
Sat Jun 15 13:30:00 +0000 2024,Prihatin Situasi di Gaza KOSPY Keluarkan 9 Sikap Termasuk Boikot Produk Terafiliasi Zionis https://t.co/db1XymOUh0,Netral
Sun Jun 09 12:45:30 +0000 2024,Viral Aplikasi No! Thanks untuk Boikot Produk Pro Israel Simak Fakta-faktanya https://t.co/rXJ7Tof2rJ,Netral
Fri Jun 14 09:36:23 +0000 2024,Aksi boikot akan berdampak secara efektif jika penolakan dilakukan terhadap produk impor yang memang didatangkan langsung dari israhelll. #TerusBoikotIsrael,Netral
Sat Jun 15 17:02:02 +0000 2024,Siti nurhaliza hari2 post pasal palestin dekat ig feed and igs dia. Kalau korg beli produk simplysiti pon siti akan derma utk palestin. Kalau korg boikot/block siti how engagement utk palestin nak tersebar luas.,Netral
Fri Jun 07 12:53:22 +0000 2024,Sambil menunggu fatwanya jadi kita yg hanya butiran debu ini jangan sampai terpengaruh kilauan artis kari BA produk pro zionis. Gak perduli artis yg jadi BA nya gerakan boikot harus makin kuat supaya cita2 kita membantu Palestina terasa sampai kesana. Karena dengan memboikot https://t.co/I7ANTNlTsa,Netral
Fri Jun 07 18:28:52 +0000 2024,sekali lagi boikot itu stop beli produk bukan rusuh sana sini goblok,Netral
Fri Jun 14 09:37:27 +0000 2024,aksi boikot akan berdampak secara efektif jika penolakan dilakukan terhadap produk impor yang memang didatangkan langsung dari israhelll. #TerusBoikotIsrael,Netral
Mon Jun 10 04:25:27 +0000 2024,@thvscenez gue tau lu kangen tpi ini masih masa boikot bisa bisanya masih ngehype cuma berlaku untuk dream sementara bias lu yg lain terang terangan promosiin produk zionis https://t.co/pRBpujB3e0,Netral
Mon Jun 10 05:10:39 +0000 2024,Gak mau boikot ya udah mau tetap beli produk Israel🇮🇱 itu pun hak kalian. Tapi mengolok² pihak yang anti apalagi sampai bawa² darah daging &amp; tulang anak Palestina 🇵🇸 itu sih udah keterlaluan. Selamat kalian udah terkenal. Ortu kalian pasti bangga https://t.co/qhOcDP2T6K,Netral
Tue Jun 11 10:22:20 +0000 2024,Aku tetep beli produk @OPPOIndonesia gak terpengaruh sama gak kayak gitu bagi kalian semua yg mau boikot produk OPPO dan mau ganti HP merk lain silahkan HP OPPO yg kamu punya kasih ke saya saja deh.,Netral
Wed Jun 05 17:18:32 +0000 2024,Drun bukan kaleng-kaleng yg menyatakan HAMAS adalah organisasi teroris. Yg bilang adalah 3 negara Islam: Arab Saudi UEA &amp; Mesir. KFC Starbucks McD kalian boikot walaupun banyak warga Indonesia yg bekerja di sana. Gue mau lihat loe punya nyali gak ngedemo ketiga negara tsb? https://t.co/3ZI8aXSpiS,Netral
Fri May 31 15:33:10 +0000 2024,Kasih rating 1.0 untuk KFC Lamnyong yang udah ngetawain kejadian di Palestina. Miris banget guys Orang Aceh wajib boikot kfc Lamnyong!!! #AlleyesonRafah #boikotkfc https://t.co/oAptCWfnpH,Netral
Sun Jun 09 16:14:39 +0000 2024,btw gais ini emang kfc boikot ya karena kfc gaada di list bds /gen https://t.co/uPVAEjjuCQ,Netral
